uri,subtitle,tags,url,uid,shared,type
diy detachable usb kit,Make your own detachable paracable cables,"gear,home",https://zapcables.com/diy-detachable-usb-cable-kit/,93,2020-4-26,
yohann macbook stand,Hand crafted wood macbook stand,"gear,home",https://www.yohann.com/product/macbook-and-macbook-pro-stand/,92,2020-4-26,
fellow coffee,Fellow coffee products look great,"gear,home",https://fellowproducts.com,91,2020-4-26,
vari active seat,Amazon: Standing desk seat,gear,https://www.amazon.com/gp/product/B07BC6DS42/,90,2020-4-26,
handmade hero,Hand made game built live from scratch,"games,tech",https://handmadehero.org,89,2020-4-26,
wingspan,Card driven engine building board game,games,https://stonemaiergames.com/games/wingspan/,88,2020-4-26,
How to draw a horse,A comedic little illustrated story,"fun,graphics,life",https://www.newyorker.com/humor/daily-shouts/how-to-draw-a-horse,87,2020-4-26,
"Image Net, Racism",0.5m removed items after racial bias exposed,"ethics,tech",https://hyperallergic.com/518822/600000-images-removed-from-ai-database-after-art-project-exposes-racist-bias/,86,2020-4-26,
Load Balancing,An intro to load balancing and proxies,"enterprise,tech,web",https://blog.envoyproxy.io/introduction-to-modern-network-load-balancing-and-proxying-a57f6ff80236,85,2020-4-26,
Plant UML,UML text format for nice graph diagrams,"enterprise,tech",http://plantuml.com/,84,2020-4-26,
nhost,Serverless backend with hasura,"enterprise,tech",https://nhost.io/,83,2020-4-26,
academy landscape,(vfx) academy software products,"enterprise,tech",https://landscape.aswf.io,82,2020-4-26,
Resilience Engineering,Managing failures in complex systems,"enterprise,tech",https://github.com/lorin/resilience-engineering#resilience-engineering-papers,81,2020-4-26,
rearchitecting,case studies in rearchitecting,"enterprise,tech",https://increment.com/software-architecture/case-studies-in-rearchitecting/,80,2020-4-26,
netflix dispatch,open source crisis management overview,"enterprise,tech",https://outline.com/p3PBUY,79,2020-4-26,
goodreads etl pipeline,Goodreads content into a data warehouse,"enterprise,tech",https://github.com/san089/goodreads_etl_pipeline,78,2020-4-26,
enterprisetech30,promising private companies in enterprise tech,"enterprise,news,tech",https://www.enterprisetech30.com,77,2020-4-26,
good judgement,the elements of good judgement for leaders,"enterprise,life",https://hbr.org/2020/01/the-elements-of-good-judgment,76,2020-4-26,
insights bi,open source business intelligence,"enterprise,home,tech",https://github.com/mariusandra/insights,75,2020-4-26,
Learn email marketing,A how-to guide by Zapier,"enterprise,home",https://zapier.com/learn/email-marketing/grow-email-list/,74,2020-4-24,
prefer hard startups,Hard startups are better than easy ones,enterprise,https://blog.samaltman.com/hard-startups,73,2020-4-26,
